day,hits,views,bandwidth
2021-03-15,23,5,21709
2021-03-16,23,19,23272
2021-03-19,38,23,41327
2021-03-20,29,17,31666
2021-03-21,12,9,14214
2021-03-22,15,12,17012
2021-03-23,13,12,13482
2021-03-24,11,9,11986
2021-03-25,12,12,12855
2021-03-26,12,11,12213
2021-03-27,3,3,2470
2021-03-28,1,1,384
2021-03-29,1,1,641
2021-03-30,2,1,1950
2021-04-01,3,3,2151
2021-04-02,1,1,385
2021-04-03,5,5,5527
2021-04-04,1,1,384
2021-04-06,3,3,1894
2021-04-07,1,1,384
2021-04-08,3,3,1923
2021-04-09,1,1,641
2021-04-10,2,2,1204
2021-04-12,7,7,6648
2021-04-13,4,4,6590
2021-04-14,46,35,37801
2021-04-16,6,6,5360
2021-04-18,3,3,2655
2021-04-19,2,2,1525
2021-04-20,2,2,2252
2021-04-22,2,2,1297
2021-04-28,2,2,1202
2021-04-29,2,2,1818
2021-05-27,2,2,1818
2021-05-28,4,4,3520
2021-06-03,3,3,2434
2021-06-05,2,2,1023
2021-06-17,2,2,1026
2021-06-28,2,2,1281
2021-07-01,2,2,1818
2021-07-07,2,2,1281
2021-07-09,9,2,9624
2021-07-21,2,2,1298
2021-07-28,2,2,1818
2021-08-01,2,2,1925
2021-08-02,2,2,1770
2021-08-21,2,2,1282
2021-08-23,5,5,6099
2021-08-27,1,1,707
2021-08-28,2,2,1695
2021-09-05,2,2,2823
2021-09-11,2,2,1818
2021-09-15,1,1,612
2021-09-20,2,2,1771
2021-10-02,2,2,1023
2021-11-04,1,1,707
2021-11-10,4,3,2835
2021-11-12,3,3,2342
2021-11-13,1,1,1060
2021-11-14,1,1,1060
2021-11-16,5,5,4578
2021-11-17,3,3,2761
2021-11-18,1,1,1060
2021-11-21,4,4,3099
2021-11-24,2,2,2292
2021-11-26,1,1,707
2021-11-27,2,2,1771
2021-12-01,2,2,1024
2021-12-06,2,2,2823
2021-12-08,2,2,1298
2022-01-25,4,4,3513
2022-02-02,2,2,1818
2022-02-04,1,1,707
2022-02-06,7,7,7045
2022-02-10,2,2,1695
2022-02-27,1,1,707
2022-03-15,2,2,1299
2022-03-19,1,1,707
2022-03-27,2,2,1771
2022-03-31,2,2,1695
2022-04-04,2,2,2216
2022-04-17,2,2,1282
2022-05-03,2,2,1299
2022-05-08,3,3,1990
2022-05-15,2,2,1770
2022-05-17,2,2,2292
2022-05-19,2,2,1694
2022-05-23,5,3,3337
2022-06-02,2,2,1298
2022-06-03,4,4,2693
2022-06-04,2,2,1298
2022-06-05,2,2,1316
2022-06-06,2,2,1315
2022-06-08,2,2,1297
2022-06-20,2,2,1297
2022-06-25,2,2,1282
2022-07-03,2,2,1771
2022-07-07,2,2,1697
2022-07-11,2,2,2216
2022-07-25,2,2,1818
2022-07-29,2,2,2216
2022-08-10,4,4,3228
2022-08-13,2,2,1925
2022-08-19,2,2,1280
2022-08-23,2,2,1770
