day,hits,views,bandwidth
2021-04-10,13,12,22856
2021-04-11,28,8,24471
2021-04-12,25,23,147286
2021-04-13,64,32,219066
2021-04-14,19,19,50387
2021-04-15,26,26,142834
2021-04-16,21,21,46803
2021-04-17,20,20,90994
2021-04-18,28,28,61888
2021-04-19,21,20,40601
2021-04-20,24,24,81821
2021-04-21,29,29,134081
2021-04-22,27,27,65565
2021-04-23,32,32,79563
2021-04-24,28,28,40197
2021-04-25,23,23,130506
2021-04-26,39,36,49780
2021-04-27,33,31,53966
2021-04-28,19,19,57662
2021-04-29,64,33,116974
2021-04-30,176,173,1262974
2021-05-01,272,271,2852374
2021-05-02,5,5,17935
2021-05-03,10,9,15595
2021-05-04,16,16,58377
2021-05-05,17,14,31560
2021-05-06,19,19,86257
2021-05-07,20,20,31146
2021-05-08,10,10,47483
2021-05-09,17,17,27675
2021-05-10,18,18,37107
2021-05-11,12,12,19826
2021-05-12,12,10,11203
2021-05-13,14,14,35879
2021-05-14,10,10,18063
2021-05-15,8,8,22998
2021-05-16,32,17,35595
2021-05-17,16,16,44935
2021-05-18,8,8,17881
2021-05-19,11,11,29986
2021-05-20,17,17,29715
2021-05-21,13,12,17589
2021-05-22,11,9,11179
2021-05-23,9,9,16287
2021-05-24,9,9,13353
2021-05-25,6,6,8394
2021-05-26,123,24,1252513
2021-05-27,11,11,31687
2021-05-28,13,11,44185
2021-05-29,16,16,37519
2021-05-30,13,13,44723
2021-05-31,59,26,386425
2021-06-01,57,23,395995
2021-06-02,5,5,2198
2021-06-03,8,8,6027
2021-06-04,8,8,20575
2021-06-05,6,6,6145
2021-06-06,15,12,21599
2021-06-07,8,8,16621
2021-06-08,8,6,9537
2021-06-09,6,6,9576
2021-06-10,11,11,21368
2021-06-11,11,11,9550
2021-06-12,9,9,19609
2021-06-13,9,9,5980
2021-06-14,12,12,23915
2021-06-15,5,5,12371
2021-06-16,8,8,17653
2021-06-17,8,8,10477
2021-06-18,8,8,15712
2021-06-19,6,6,7019
2021-06-20,4,4,2578
2021-06-21,52,12,461185
2021-06-22,3,3,2736
2021-06-23,7,7,13326
2021-06-24,3,3,3755
2021-06-25,3,3,2447
2021-06-26,13,11,12762
2021-06-27,15,10,13835
2021-06-28,5,5,6488
2021-06-29,40,19,214702
2021-06-30,9,9,15562
2021-07-01,4,2,3990
2021-07-02,5,5,5699
2021-07-03,1,1,2873
2021-07-04,4,4,2635
2021-07-05,1,1,867
2021-07-06,11,11,15368
2021-07-07,4,4,7278
2021-07-08,6,6,5532
2021-07-09,3,2,2244
2021-07-10,2,2,1975
2021-07-11,3,3,1677
2021-07-12,1103,346,11932583
2021-07-13,5,3,4263
2021-07-14,4,4,7286
2021-07-15,2,2,1032
2021-07-16,2,2,3162
2021-07-18,2,2,1238
2021-07-20,3,3,2776
2021-07-21,6,5,7426
2021-07-22,5,5,7485
2021-07-23,2,2,4417
2021-07-25,7,6,6643
2021-07-26,2,2,1289
2021-07-27,10,9,11444
2021-07-28,6,6,18930
2021-07-29,8,8,13989
2021-07-30,47,8,522450
2021-07-31,6,5,8560
2021-08-01,10,8,23027
2021-08-02,11,8,10451
2021-08-03,3,3,4168
2021-08-04,7,7,8745
2021-08-05,4,4,4884
2021-08-06,6,6,10153
2021-08-07,8,6,7897
2021-08-08,25,10,129233
2021-08-09,4,4,5114
2021-08-10,5,5,5038
2021-08-11,3,3,2925
2021-08-12,4,2,4074
2021-08-13,2,2,1290
2021-08-14,3,3,3153
2021-08-15,2,2,1589
2021-08-16,1,1,1588
2021-08-17,3,3,2682
