day,hits,views,bandwidth
2021-01-05,60,58,6704364
2021-01-06,31,31,3362375
2021-01-07,47,44,5363253
2021-01-08,20,20,559460
2021-01-09,86,66,3456732
2021-01-10,60,59,8531803
2021-01-11,38,35,1219525
2021-01-12,33,32,390938
2021-01-13,74,63,2468319
2021-01-14,73,64,4217529
2021-01-15,66,65,4587803
2021-01-16,25,24,1490899
2021-01-17,45,43,699980
2021-01-18,65,63,2957365
2021-01-19,28,26,1409958
2021-01-20,59,57,4022013
2021-01-21,27,27,2325046
2021-01-22,71,68,6771685
2021-01-23,61,59,4728865
2021-01-24,71,67,7942490
2021-01-25,67,60,6175357
2021-01-26,98,94,23434555
2021-01-27,74,71,5763445
2021-01-28,82,77,54664282
2021-01-29,79,77,10424518
2021-01-30,57,56,4309079
2021-01-31,78,77,64157722
2021-02-01,118,112,60486657
2021-02-02,138,125,12881589
2021-02-03,89,85,5583589
2021-02-04,79,75,13749119
2021-02-05,157,150,41280961
2021-02-06,90,87,13842365
2021-02-07,57,53,7189390
2021-02-08,46,45,1433739
2021-02-09,33,31,3765215
2021-02-10,84,80,9571321
2021-02-11,47,46,4790491
2021-02-12,70,66,1688996
2021-02-13,52,49,3120811
2021-02-14,69,66,8861720
2021-02-15,65,55,4845040
2021-02-16,125,123,17543072
2021-02-17,71,67,9791108
2021-02-18,54,50,4299156
2021-02-19,104,98,41616178
2021-02-20,99,94,8312071
2021-02-21,145,134,13293105
2021-02-22,50,48,3290124
2021-02-23,40,36,1913286
2021-02-24,77,76,11681288
2021-02-25,101,88,11300154
2021-02-26,113,103,8444789
2021-02-27,86,72,8562293
2021-02-28,30,30,1258581
2021-03-01,216,198,20231970
2021-03-02,168,148,4553633
2021-03-03,140,126,11471313
2021-03-04,45,45,1183453
2021-03-05,150,143,16522198
2021-03-06,114,92,3720722
2021-03-07,89,89,6065125
2021-03-08,154,147,14490707
2021-03-09,74,72,4503486
2021-03-10,66,61,1193001
2021-03-11,80,77,8992698
2021-03-12,79,72,1843153
2021-03-13,110,102,9616492
2021-03-14,61,57,5758029
2021-03-15,72,70,15268286
2021-03-16,118,115,66258212
2021-03-17,66,64,4237448
2021-03-18,122,105,12633661
2021-03-19,63,60,6976976
2021-03-20,67,64,3365379
2021-03-21,89,84,8954496
2021-03-22,761,750,165480079
2021-03-23,102,101,13306221
2021-03-24,29,28,1390474
2021-03-25,52,42,1060490
2021-03-26,43,42,3464880
2021-03-27,78,57,973592
2021-03-28,52,50,2917645
2021-03-29,66,62,17150711
2021-03-30,56,53,1088663
2021-03-31,78,67,21946514
2021-04-01,52,50,1673820
2021-04-02,68,66,10563528
2021-04-03,48,48,1115348
2021-04-04,60,58,4015216
2021-04-05,50,48,3110015
2021-04-06,39,37,3455402
2021-04-07,67,60,5679460
2021-04-08,97,87,12189997
2021-04-09,143,140,17792096
2021-04-10,128,123,15473986
2021-04-11,56,54,10492638
2021-04-12,627,619,111221709
2021-04-13,82,78,7525268
2021-04-14,56,47,966117
2021-04-15,27,26,6783725
2021-04-16,106,99,6810150
2021-04-17,58,53,1382022
2021-04-18,68,60,84252884
2021-04-19,53,51,5075858
2021-04-20,55,55,44683712
2021-04-21,57,51,709195
2021-04-22,318,317,43062446
2021-04-23,64,56,4469209
2021-04-24,43,42,1810785
2021-04-25,77,74,25172423
2021-04-26,36,35,12068121
2021-04-27,51,51,3355748
2021-04-28,16,16,21187
2021-04-29,44,40,686618
2021-04-30,95,93,770762
2021-05-01,747,745,132569328
2021-05-02,190,185,98918376
2021-05-03,125,121,3269405
2021-05-04,610,187,45322427
2021-05-05,79,64,1924839
2021-05-06,105,102,10616371
2021-05-07,61,58,1761734
2021-05-08,90,74,687722
2021-05-09,116,106,6728926
2021-05-10,71,67,2663571
2021-05-11,41,41,797341
2021-05-12,78,73,15595288
2021-05-13,67,50,1651848
2021-05-14,78,76,3252551
2021-05-15,44,42,3671410
2021-05-16,57,51,3271758
2021-05-17,51,46,2045622
2021-05-18,47,46,2714323
2021-05-19,78,76,15164713
2021-05-20,50,48,1356415
2021-05-21,144,141,13186166
2021-05-22,113,109,9027645
2021-05-23,43,43,4889750
2021-05-24,139,127,17694555
2021-05-25,33,29,502901
2021-05-26,227,192,74502674
2021-05-27,887,866,181435751
2021-05-28,54,53,5005865
2021-05-29,115,112,8029570
2021-05-30,126,123,7566093
2021-05-31,117,116,5674573
2021-06-01,100,94,6848036
2021-06-02,109,106,22887322
2021-06-03,162,147,13037795
2021-06-04,120,119,10858871
2021-06-05,124,120,26343734
2021-06-06,104,96,10699105
2021-06-07,121,119,3327549
2021-06-08,109,106,9470182
2021-06-09,593,585,16323890
2021-06-10,115,104,2324750
2021-06-11,66,60,3023032
2021-06-12,86,75,7544055
2021-06-13,88,85,8035341
2021-06-14,85,81,6357164
2021-06-15,76,72,168043
2021-06-16,112,106,7835917
2021-06-17,83,75,698480
2021-06-18,47,40,1092516
2021-06-19,109,100,17020789
2021-06-20,200,170,79948944
2021-06-21,61,53,197630
2021-06-22,33,31,1478254
2021-06-23,108,103,9365682
2021-06-24,269,101,24080995
2021-06-25,86,82,1996105
2021-06-26,70,66,3932390
2021-06-27,56,53,10572179
2021-06-28,39,36,874613
2021-06-29,37,35,125520
2021-06-30,46,42,1039910
2021-07-01,106,96,13384789
2021-07-02,92,88,12874771
2021-07-03,117,107,14214262
2021-07-04,33,33,685954
2021-07-05,33,31,1986160
2021-07-06,59,53,1009858
2021-07-07,88,84,14843127
2021-07-08,57,49,559644
2021-07-09,748,459,201977310
2021-07-10,51,51,1467419
2021-07-11,581,578,12281796
2021-07-12,88,87,1375595
2021-07-13,37,37,467287
2021-07-14,36,32,478157
2021-07-15,11,10,61393
2021-07-16,56,53,3131049
2021-07-17,14,12,916606
2021-07-18,39,37,15989849
2021-07-19,28,27,1478319
2021-07-20,19,18,543731
2021-07-21,49,46,7209490
2021-07-22,94,92,4208942
2021-07-23,31,28,5076655
2021-07-24,41,34,529397
2021-07-25,113,109,4972796
2021-07-26,99,96,4781470
2021-07-27,54,50,4116149
2021-07-28,156,152,15379033
2021-07-29,66,65,50915603
2021-07-30,69,64,51735714
2021-07-31,41,39,50554669
2021-08-01,38,38,8480314
2021-08-02,127,124,7729869
2021-08-03,58,56,701134
2021-08-04,66,60,4975548
2021-08-05,114,103,8390614
2021-08-06,46,43,978468
2021-08-07,55,51,1375964
2021-08-08,67,62,1151878
2021-08-09,71,70,4690797
2021-08-10,60,58,1083567
2021-08-11,572,571,12816425
2021-08-12,45,45,10537927
2021-08-13,211,206,74303096
2021-08-14,51,51,4997280
2021-08-15,42,41,5734272
2021-08-16,23,23,547867
2021-08-17,35,31,1540770
2021-08-18,51,51,2960433
2021-08-19,24,24,2257722
2021-08-20,31,31,1417152
2021-08-21,69,67,2259207
2021-08-22,51,47,1461672
2021-08-23,38,35,2462538
2021-08-24,156,154,13939526
2021-08-25,721,719,180428131
2021-08-26,61,56,3425817
2021-08-27,38,35,456702
2021-08-28,57,45,9109585
2021-08-29,39,38,1692421
2021-08-30,46,44,441494
2021-08-31,75,73,1902895
2021-09-01,29,29,4529269
2021-09-02,54,52,3465467
2021-09-03,67,62,95516232
2021-09-04,28,27,1711544
2021-09-05,528,526,10513158
2021-09-06,132,131,1362789
2021-09-07,48,46,1358331
2021-09-08,224,221,8233631
2021-09-09,170,163,7891353
2021-09-10,73,71,4860271
2021-09-11,55,53,917975
2021-09-12,247,242,49085017
2021-09-13,40,38,177150
2021-09-14,133,128,17988139
2021-09-15,60,55,382193
2021-09-16,75,72,78335831
2021-09-17,634,627,115528901
2021-09-18,24,24,813246
2021-09-19,354,352,64918974
