day,hits,views,bandwidth
2021-02-20,25,8,145149
2021-02-21,6,5,52004
2021-02-22,5,5,19244
2021-02-23,6,3,83042
2021-02-24,15,2,93509
2021-02-25,2,2,21505
2021-02-26,4,4,7379
2021-02-27,26,9,117836
2021-02-28,4,4,45406
2021-03-01,3,3,11184
2021-03-02,4,4,9151
2021-03-03,3,3,3677
2021-03-05,3,3,2835
2021-03-06,6,6,14442
2021-03-07,3,3,17948
2021-03-08,4,4,13002
2021-03-09,1,1,9272
2021-03-10,3,3,3373
2021-03-11,2,2,2047
2021-03-12,2,2,7389
2021-03-13,6,6,12483
2021-03-14,2,2,18151
2021-03-15,4,1,47893
2021-03-16,5,5,13186
2021-03-17,1,1,5424
2021-03-18,1,1,4870
2021-03-20,4,4,11249
2021-03-21,8,6,70455
2021-03-22,3,3,13017
2021-03-23,3,3,14798
2021-03-24,4,4,16802
2021-03-25,3,3,6864
2021-03-26,22,10,43168
2021-03-27,8,7,11706
2021-03-28,4,4,7587
2021-03-29,5,5,10133
2021-03-30,1,1,1597
2021-03-31,15,15,22796
2021-04-01,18,16,82888
2021-04-02,9,6,77895
2021-04-03,4,4,4469
2021-04-05,3,3,5860
2021-04-06,3,3,3055
2021-04-07,4,4,16221
2021-04-08,12,11,15180
2021-04-09,7,5,58176
2021-04-11,6,4,51410
2021-04-12,20,20,43155
2021-04-13,10,10,16855
2021-04-14,27,20,152486
2021-04-16,5,5,17755
2021-04-17,10,10,39757
2021-04-18,23,10,45074
2021-04-19,1,1,4113
2021-04-20,2,2,6687
2021-04-21,5,5,102035
2021-04-22,4,4,35611
2021-04-23,2,2,2903
2021-04-24,1,1,1453
2021-04-25,1,1,3210
2021-04-26,1,1,5235
2021-04-28,1,1,385
2021-04-29,4,4,11748
2021-05-01,4,4,31231
2021-05-04,1,1,1632
2021-05-06,1,1,1452
2021-05-07,7,7,17044
2021-05-10,2,2,3500
2021-05-13,1,1,1453
2021-05-16,1,1,3990
2021-05-17,2,2,6866
2021-05-19,1,1,5002
2021-05-21,1,1,1452
2021-05-22,2,2,3090
2021-05-23,1,1,1453
2021-05-25,2,2,3085
2021-05-26,1,1,384
2021-05-27,1,1,1631
2021-05-29,1,1,32617
2021-05-30,1,1,1631
2021-06-01,5,4,12710
2021-06-02,8,6,50834
2021-06-03,1,1,1458
2021-06-04,2,2,3507
2021-06-06,2,2,3268
2021-06-07,1,1,1863
2021-06-08,1,1,390
2021-06-09,2,2,3267
2021-06-10,1,1,3990
2021-06-11,1,1,1632
2021-06-12,2,2,3274
2021-06-13,2,2,3084
2021-06-14,1,1,390
2021-06-16,1,1,1632
2021-06-17,1,1,1453
2021-06-18,2,2,3270
